sample_id,true_max_mpa,pred_max_mpa,max_stress_error_mpa,max_stress_relative_error_%,field_mae_mpa,field_max_error_mpa,r2,error_bin
2001,299.22974527885776,303.47806,4.248312582470362,1.4197494231435048,0.7991627676454927,11.65812946286681,0.9990064782335458,3-5
2002,298.2888544373487,298.46106,0.17220513296382478,0.05773099812550791,0.6167813738364621,7.640304769334591,0.9993707021528263,0-1
2003,301.61531115156015,303.76755,2.1522364558617255,0.7135700265495599,0.6444029761487613,8.342716046894822,0.9993412130342924,2-3
2004,298.14049361978584,297.64493,0.4955656412702183,0.16621883034184742,0.666976335217184,8.316451678492484,0.9992746243745398,0-1
2005,302.0013062825967,304.5409,2.5395872720907846,0.8409193004332155,0.697127815530099,9.277263670965112,0.9992247571361623,2-3
2006,308.6276051938764,308.66245,0.03483987448299786,0.011288644922450098,0.7376800884179104,10.960372022436957,0.9990947627580901,0-1
2007,306.79261610906724,306.79883,0.006212015932760551,0.0020248257639134733,0.7757151620275502,9.650789207136839,0.999063180920724,0-1
2008,303.1167361656929,303.12128,0.004540689775865303,0.0014980003523735565,3.320724127435699,21.44441535351291,0.9836259017007123,0-1
2009,298.5453761425168,298.59158,0.04620710943635231,0.015477415873389511,0.6880232756391642,12.932118509264484,0.9992419441560046,0-1
2010,309.44933811894236,309.4752,0.025851090042010583,0.008353900576796275,0.8204444415882121,26.86457152610336,0.998922362906384,0-1
2011,301.84936282266574,301.8535,0.004122284756135741,0.0013656761497149665,0.8711283337463589,20.910858648371004,0.9986894949919463,0-1
2012,295.9185921925903,295.88907,0.02952358907469943,0.009976929416954251,1.8960207427578835,23.916761656563708,0.9951683859012779,0-1
2013,304.58393188473997,304.57547,0.008461914036843154,0.002778187931478045,0.8799486099162036,24.834796688719436,0.9987443954146409,0-1
2014,308.80233403359745,308.85843,0.056094921480678295,0.0181653165466603,0.7476422025824703,11.557132611159261,0.9991069283211232,0-1
2015,292.1871586069898,292.22186,0.03470418597896696,0.011877382340969436,0.8959887080912668,10.472443698858427,0.99864490325256,0-1
2016,303.65458090715964,303.69775,0.0431729990903591,0.014217799369724955,0.7157266670040114,12.240820431894363,0.9991960162567486,0-1
2017,293.6131630303837,293.5994,0.01376727843057779,0.004688917311637395,0.7696011867232748,18.966491536384382,0.9990058639372572,0-1
2018,289.44122738426483,289.3899,0.051334806139834654,0.01773583072589797,0.9648472381051132,14.466850284865927,0.9983933332546686,0-1
2019,299.1707936868989,299.21088,0.04008277794486048,0.013397958220082686,0.853723958187137,9.67061885832068,0.9987980116796996,0-1
2020,291.5861285865542,291.62338,0.03725398180517914,0.012776321694644915,0.8220554715599017,11.266530686389984,0.9988866004808927,0-1
2021,300.64465763914785,300.55624,0.08841374266347657,0.029408053799378053,0.7139676096244453,11.618505389387366,0.9991676442197291,0-1
2022,294.57173760685026,294.5771,0.0053497954934869085,0.001816126535746279,0.6579221603721207,11.275380951881417,0.9992690564123636,0-1
2023,298.452448004452,298.44025,0.012201422420730523,0.0040882299683963445,0.8068367898980504,11.912730884297147,0.9989213399115229,0-1
2024,285.6985494320424,285.73184,0.033292608973226834,0.011653054955795626,0.9952265307951055,11.010470181739691,0.9983040466703987,0-1
2025,318.235735662958,318.32898,0.09324382922949326,0.029300238401964815,1.2334345151105977,17.023510530286927,0.9977706346852436,0-1
2026,287.5601150464198,287.647,0.08688812740831509,0.030215639395710023,0.842583632728039,11.899342114949349,0.9987854887139975,0-1
2027,287.7803648395017,287.72363,0.05673202700171487,0.019713654555047543,0.8287303804212933,21.233289490976006,0.9988209145244776,0-1
2028,306.4926788981702,306.5655,0.0728118244860525,0.02375646450930192,0.78280681840681,13.665415121000763,0.9990193082892664,0-1
2029,307.8800199076808,307.96307,0.08305382278797424,0.026976035279222828,0.7409253850896564,9.784651686995204,0.9991349672250192,0-1
2030,303.2895006524836,303.22507,0.06443351381170714,0.02124488769742696,1.0019196568279103,20.030472205394773,0.9982720058446399,0-1
2031,296.0527144453545,296.12775,0.07503213667672526,0.025344181294637207,1.8006406868165272,25.060827131846537,0.9955123235037739,0-1
2032,284.10602990817046,284.169,0.06297643948579434,0.022166526879471644,1.173570483427231,16.69945401108265,0.9975938683096526,0-1
2033,301.48841704678006,301.43793,0.05048980068630726,0.016746845925584293,0.8924135351481699,9.407598575517426,0.9987262087518548,0-1
2034,299.465010172994,299.39734,0.06767130580652747,0.022597399865658868,1.9449329581223547,15.880212757221216,0.9944609008847781,0-1
2035,301.8494748171963,301.74997,0.09950533477444878,0.03296521712840826,0.729059458749745,12.04457152899468,0.9991202994031008,0-1
2036,298.3402273453332,298.2906,0.04963896642692589,0.016638375209611964,0.7623317527619803,19.820779060588677,0.9990233985356769,0-1
2037,314.7168259804758,314.79623,0.07940815038358551,0.025231618975628516,0.9779483656953927,24.006257553755788,0.9985532914858362,0-1
2038,291.34521722307795,291.43292,0.08770514020329756,0.03010351123634313,0.7225301289922195,19.467769984709975,0.9991239484260865,0-1
2039,307.1276654404745,307.07336,0.05430118266201589,0.017680329313264093,0.8382639579749687,11.777163369472845,0.9988961255699649,0-1
2040,306.8159574677105,306.67822,0.13773481146051836,0.04489167141021785,2.0497589499079556,25.841878341857566,0.9942781018582467,0-1
2041,296.0333407287357,295.93732,0.09602383420445904,0.03243683092184153,0.6866670917054059,11.87743824924371,0.9992142191014108,0-1
2042,289.0742437121419,289.14853,0.07428534059249614,0.025697668404684636,0.7949288171092751,10.892409669315725,0.9989598124157061,0-1
2043,297.11368240879364,297.00446,0.10922684238738611,0.036762643006491624,0.9261363154008952,9.919225480530741,0.9986214882065388,0-1
2044,289.9382211811598,289.80823,0.12999364209730402,0.0448349450333701,1.0030521306489009,20.003151397194188,0.9983400599029703,0-1
2045,290.8571944750748,290.93707,0.07987827883147247,0.027463057592793255,0.7740021182469544,20.840509269055246,0.998999375357116,0-1
2046,297.2798233571533,297.3645,0.08467859597169536,0.028484474666133706,0.6755571772655672,9.457297589561989,0.9992395010253668,0-1
2047,298.89355081475406,299.024,0.1304360016521855,0.043639617280677334,0.7382674004538452,12.473849480553127,0.9990979993988071,0-1
2048,294.7922355563669,294.87396,0.08172684597684565,0.02772354089401339,0.9250325191159622,22.762171146197232,0.998571055502958,0-1
2049,302.1333335187404,302.2489,0.11556784844708545,0.03825061177498878,0.7811788307263453,19.812967054682957,0.9989931721736375,0-1
2050,301.4224476562807,301.55814,0.135688330047401,0.045016000335227076,0.6768523909121005,10.219240157879113,0.9992409622080688,0-1
2051,290.8045566564999,290.717,0.08754615845305125,0.030104809724993853,0.8343453824407664,19.73316717549048,0.9988111920226455,0-1
2052,297.32111493929216,297.4834,0.1622834982078416,0.05458189481126394,0.6947002973137245,12.064040743625469,0.9992003054168956,0-1
2053,313.85406718456824,313.74808,0.10598979199011183,0.033770405762427916,1.0499650557638223,9.80024810221397,0.9984402697440596,0-1
2054,303.50968746382733,303.6519,0.14219852250079157,0.046851394988088796,0.6964660923605844,9.185284648819675,0.9992382589633515,0-1
2055,299.18390875333034,299.3257,0.14180535799778227,0.04739738797740531,0.6842816728475482,22.477510081096128,0.9991716399335171,0-1
2056,306.99333086647886,306.86118,0.13215532936948193,0.043048273718675825,0.69941024240745,9.655366031957968,0.9992199189789325,0-1
2057,303.09366163341934,303.01584,0.07782301037246953,0.025676224950752547,1.0595297994514086,29.725336985655048,0.9982244489836603,0-1
2058,310.2526315163569,310.4183,0.16567292700244707,0.053399362381786136,0.8040040707457917,26.34982940989235,0.9989488193553437,0-1
2059,306.96497397550166,306.8148,0.15018515714228897,0.04892582863681215,0.8476527744005057,12.279834408139436,0.9988825831872044,0-1
2060,300.77947216361036,300.6227,0.15676098196973953,0.05211824491947665,0.9163384276425726,10.248668123298017,0.9986395934471068,0-1
2061,307.0185214252243,306.8468,0.17171966741182132,0.05593137072469564,5.877019969902435,39.54913113711913,0.9595833849004768,0-1
2062,300.43542679654985,300.60074,0.16531172884077705,0.055024046465972726,0.7111584775486762,10.175183100902501,0.9991494940679578,0-1
2063,303.8470660170295,303.93912,0.09205141461114863,0.03029531132809737,0.7382225205507269,20.616224952779987,0.99912373817062,0-1
2064,313.1549428294307,313.38495,0.23000590103805507,0.07344795485579633,2.5856084860723163,29.631705525450116,0.9901500915970263,0-1
2065,295.68210783578144,295.51257,0.1695345935939372,0.05733677794535165,0.7768816076025483,22.004064235022,0.9989390552217934,0-1
2066,307.8999418081294,308.0961,0.1961580453861984,0.06370837364705838,0.856773317965754,11.88206633634232,0.9988812023888347,0-1
2067,298.002108007647,297.7821,0.2200035154594957,0.07382616080482565,0.6921505763326757,11.194722688122113,0.9991845516303364,0-1
2068,317.40842732640897,317.63898,0.23054972437228116,0.07263503565870792,1.0990723620505691,18.01983607895619,0.9982259792918845,0-1
2069,296.6674973907438,296.45322,0.21428083800941522,0.07222929370222979,0.7452944218199956,23.990451590583206,0.9990355171544332,0-1
2070,295.588382131025,295.40848,0.17990434782188913,0.06086313221273467,0.7526147541042367,10.434478281401283,0.9990577984495462,0-1
2071,311.5402296845052,311.80057,0.2603379424479044,0.08356479120258305,0.7846828585615446,12.984258556766576,0.9990698647772827,0-1
2072,300.2312603922812,300.50104,0.2697772053750782,0.0898564676518322,0.6630352546267844,11.32417109683476,0.999295874240247,0-1
2073,311.97072502078214,312.1572,0.1864710241397347,0.05977196229784472,0.9436511212630647,9.476971297983567,0.9986836604164292,0-1
2074,312.2686479955892,312.43665,0.1679975122232804,0.05379903275645314,0.8111565094378572,12.873041169765003,0.9990237547810518,0-1
2075,304.5554476081014,304.7466,0.19116494072670775,0.062768517926068,0.7485294415777597,17.16843172068647,0.9990682765028295,0-1
2076,298.39995101333716,298.61453,0.21458145736596634,0.07191068786615702,0.7874594917582516,11.44125572449704,0.9990202441747578,0-1
2077,294.0346791112823,294.2195,0.18483382817083793,0.06286123416785287,0.7042932725536404,19.798903276800388,0.9991613677052805,0-1
2078,300.88566353023134,300.67117,0.2144904345282157,0.07128635908126772,1.2329830683086755,18.087958531963807,0.9976264183344927,0-1
2079,295.34352711622427,295.07193,0.2715971845836407,0.09195975521642671,0.7130855615023729,20.90442228494257,0.9991389043073605,0-1
2080,311.0382202517223,310.82394,0.2142761599254186,0.06889062050059493,0.9421820649589824,20.311269435623302,0.9986562961186897,0-1
2081,288.3412111408568,288.10855,0.23266011546616028,0.08068916494649254,0.8561970060866422,12.66656312543057,0.9987938449364159,0-1
2082,303.27148450798256,303.03503,0.23645032829506363,0.07796655484397838,0.6844579093532335,12.392100455990402,0.9992501985780251,0-1
2083,308.9375842594874,308.7226,0.21498904464363022,0.0695897992337033,0.8103844013203706,10.8738581620064,0.9989607999083941,0-1
2084,293.70739062571954,293.46875,0.23864062571954037,0.08125114768516245,1.461782295365513,23.328456669313056,0.9968759824913463,0-1
2085,297.1321802416639,296.89633,0.23584845455451386,0.07937492814231475,1.5065078183020413,12.903940122892976,0.9964111973243023,0-1
2086,297.4917846698991,297.24463,0.2471557636491184,0.08307986182655959,1.688242455937071,23.603236556573833,0.9964344450849772,0-1
2087,294.67556718435895,294.91254,0.2369694367347961,0.08041706307687872,0.944586112706259,11.165078658485498,0.9984814306622682,0-1
2088,301.6691810277295,301.98218,0.3129967066454924,0.10375494957064298,1.9141968245477055,22.855020296796113,0.9952623846557439,0-1
2089,299.8424109730817,299.6346,0.2077979359723372,0.0693023829744326,0.7418842726860475,11.565648555842515,0.9991469020775883,0-1
2090,296.9179739328786,296.63165,0.28632110084737405,0.09643104358246089,4.275124835202671,23.71715037138567,0.9768617458998918,0-1
2091,298.56411522618146,298.83707,0.2729514242091682,0.09142137661198499,1.2200095184816222,11.118739328518615,0.9975358295373543,0-1
2092,292.4224621950852,292.1336,0.28885623805393834,0.09878045478641524,0.7765204754755406,10.97122964066449,0.9989573422931038,0-1
2093,292.8235697492772,292.5804,0.24315593091785104,0.08303837396902414,0.8153400953279549,27.121241893406392,0.9988634135571651,0-1
2094,305.28348181632947,305.60498,0.3214986524205301,0.1053115126005921,0.8508611028133413,20.147552498891173,0.9988023315355211,0-1
2095,295.3442701924974,295.10745,0.23681779991926533,0.08018364458701498,0.8438625254648243,27.458108225032746,0.9988191705720126,0-1
2096,293.26484427027196,293.5106,0.2457453293374101,0.08379638205489506,0.6954946758172221,20.369291895691816,0.9991761421978504,0-1
2097,292.6236478218105,292.3117,0.3119412788417435,0.10660152764950023,0.8276750067465561,21.81852069226649,0.998808185051564,0-1
2098,291.21690602658043,291.48337,0.2664618933414431,0.09149945893495694,0.8409713929940804,20.876269972587735,0.9987869103932445,0-1
