method,pixels,runtime_s,time_per_pixel_us,valid_count,log10_Nf_MAE,Nf_mean_relative_error_%,Nf_median_relative_error_%,Nf_p95_relative_error_%,relative_runtime_vs_pure_physics
data-only MLP,2000000,0.18173697963356972,0.09086848981678486,2000000,0.0016928626597557978,0.38850879317259035,0.2714981279054046,1.180087161370934,1.0727149579105324
pure-physics P-PINN,2000000,0.169417773373425,0.0847088866867125,2000000,0.0005320223300700202,0.12255737160769337,0.09475551520897946,0.3236115556301392,1.0
vectorized bisection reference,2000000,8.342490814160556,4.171245407080278,2000000,0.0,0.0,0.0,0.0,49.24212287793628
